name,code_1,type_1,code_2,type_2
correlation,20376, 204,20525, 1852
covariance,20178, 203,20297, 1259
2mm,20394, 218,20633, 2707
3mm,20513, 206,20825, 3761
atax,19995, 193,20154, 1126
bicg,20107, 193,20330, 1195
doitgen,20165, 205,20293, 1848
mvt,20204, 193,20459, 1562
gemm,20170, 204,20344, 1737
gemver,20400, 227,20847, 3496
gesummv,20071, 206,20300, 1091
symm,20251, 204,20419, 1519
syr2k,20171, 204,20336, 1502
syrk,20080, 203,20194, 1100
trmm,20040, 202,20161, 923
cholesky,20327, 193,20440, 1563
durbin,19954, 193,20063, 729
gramschmidt,20367, 193,20541, 1438
lu,20309, 193,20419, 1480
ludcmp,20630, 193,20901, 2632
trisolv,19920, 193,20092, 858
deriche,21106, 237,21262, 1653
floyd-warshall,16582, 176,16645, 420
nussinov,16749, 176,16843, 759
adi,20532, 193,20693, 1807
fdtd-2d,20609, 193,20827, 2145
heat-3d,20446, 193,20570, 1008
jacobi-1d,19890, 193,20002, 566
jacobi-2d,20139, 193,20259, 704
seidel-2d,20012, 193,20079, 529
